Name,Rarity,Highest pull percentage,Base SN value
Arm Wrestling,MYTHIC,0.020000,120000
Big Breast Haz,LEGENDARY,2.000000,140
BlobFish Ash,MYTHIC,0.080000,100000
Border Patrol,MYTHIC,0.004000,1000000
Boxing,MYTHIC,0.004000,1000000
Dodgy Dave,EPIC,5.000000,35
Fish Ash,COMMON,1.946000,145
Gary Post,RARE,10.000000,15
Goon Face Ash,LEGENDARY,2.000000,140
Hard Work Zac,EPIC,5.000000,35
Island Boys,RARE,10.000000,15
Kebab Delight,UNCOMMON,40.000000,5
Lippy,EPIC,5.000000,35
Open Wide,EPIC,5.000000,35
Photogenic Ash,COMMON,1.946000,145
Slobbery Smile,LEGENDARY,2.000000,140
Taking It Zac,EPIC,5.000000,35
Triple Chin Tart,EPIC,5.000000,35
Angry Ash,LEGENDARY,1.125000,335
Drag TTG,LEGENDARY,0.625000,810
mike andy and shuan,LEGENDARY,1.250000,285
mini men,MYTHIC,0.869565,495
TTG NIP SLIP,MYTHIC,0.130435,8490
chicken troopers,EPIC,1.076923,360
Jamie G,EPIC,1.346154,255
johnpork,EPIC,1.346154,255
wonkey ash,EPIC,3.230769,70
leonardo,RARE,3.087719,75
mike,RARE,3.649123,55
pencil arms ash,RARE,2.526316,100
surfing haz,RARE,2.666667,90
TTGDRESSup,RARE,4.070175,50
Chud Zac,UNCOMMON,6.953020,20
dodgyHaz,UNCOMMON,6.389262,25
HardHat Zac,UNCOMMON,6.201342,25
Shuan,UNCOMMON,8.456376,15
Cashire TTG,COMMON,9.473684,15
ForkBev,COMMON,11.052632,10
Tony,COMMON,11.250000,10
TTG,COMMON,13.223684,10
ash paffet,UNCOMMON,7.000000,20
Aura Farm ash,MYTHIC,0.333333,2080
Bald ash,RARE,2.666667,90
Bannana Ash,COMMON,15.000000,5
blue bag ash,COMMON,15.000000,5
caveman ash,UNCOMMON,7.000000,20
Cheeky ash,UNCOMMON,7.000000,20
Chocolate milk ash,RARE,2.666667,90
Clipper Ash,EPIC,1.000000,400
Egg Ash,LEGENDARY,0.600000,860
Football ash,LEGENDARY,0.600000,860
Frustrated Ash,EPIC,1.000000,400
Gate Ash,COMMON,15.000000,5
Goalkeeper ash,EPIC,1.000000,400
Horny ash,MYTHIC,0.333333,2080
Hotdog ash,EPIC,1.000000,400
Mars Bar Ash,RARE,2.666667,90
obese ash,LEGENDARY,0.600000,860
posture ash,LEGENDARY,0.600000,860
Rude Ash,EPIC,1.000000,400
Sleepy Ash,RARE,2.666667,90
Seductive Ash,UNCOMMON,7.000000,20
Supercool Young Ash,EPIC,1.000000,400
Taking it ash,MYTHIC,0.333333,2080
The Gang ash,LEGENDARY,0.600000,860
Thumbs up ash,EPIC,1.000000,400
TTT ash,RARE,2.666667,90
Workout ash,RARE,2.666667,90
A&H,RARE,1.333333,260
Ash kyle show,EPIC,0.875000,490
Bathtub boys,EPIC,0.875000,490
Bev and the Bean Stalk,LEGENDARY,0.500000,1130
Biker bev,RARE,1.333333,260
Boys 4 Life,LEGENDARY,0.500000,1130
Bright Future,EPIC,0.875000,490
Dodgy Elevator ride,RARE,1.333333,260
Erm IDK,RARE,1.333333,260
Game Time,EPIC,0.875000,490
Happy Zac,RARE,1.333333,260
Ima Celeb TTG,EPIC,0.875000,490
Mafia,LEGENDARY,0.500000,1130
Nerf Gun TTG,RARE,1.333333,260
Packet man,UNCOMMON,2.333333,110
Postman Jay,UNCOMMON,2.333333,110
Shocked TTG,COMMON,2.647059,95
TTG FUNERAL,LEGENDARY,0.500000,1130
TTG Files,MYTHIC,0.333333,2080
TTG's Football club,LEGENDARY,0.500000,1130
Thumbs up ash,COMMON,2.647059,95
TikTok Live TTG,EPIC,0.875000,490
W RIZZ,LEGENDARY,0.500000,1130
Wise TTg words,RARE,1.333333,260
alien abduction zac,MYTHIC,0.333333,2080
bird zac,RARE,1.333333,260
cheeky ash,UNCOMMON,2.333333,110
chicken Bomber,EPIC,0.875000,490
corona ash,UNCOMMON,2.333333,110
dodgy zac,COMMON,2.647059,95
dont get cuaght,COMMON,2.647059,95
double thumbs up ash,UNCOMMON,2.333333,110
drunk haz,UNCOMMON,2.333333,110
dumptruck zac,RARE,1.333333,260
fat slob,COMMON,2.647059,95
harry myatt,UNCOMMON,2.333333,110
headset liam,COMMON,2.647059,95
hungry zac,UNCOMMON,2.333333,110
illuminati ash,MYTHIC,0.333333,2080
jared,COMMON,2.647059,95
liam P,COMMON,2.647059,95
lolipop ash,COMMON,2.647059,95
long neck ash,UNCOMMON,2.333333,110
nipslip haz,COMMON,2.647059,95
no body cam since belmont road,COMMON,2.647059,95
paintjob haz,RARE,1.333333,260
pdf ash,COMMON,2.647059,95
pepperoni haz,COMMON,2.647059,95
prom fellas,RARE,1.333333,260
shocked zac,UNCOMMON,2.333333,110
skinfade ash,COMMON,2.647059,95
slender haz,COMMON,2.647059,95
snoty dave,COMMON,2.647059,95
special train ride,EPIC,0.875000,490
stupid wall photo,COMMON,2.647059,95
suited up ash,UNCOMMON,2.333333,110
thinker ash,RARE,1.333333,260
what went wrong,UNCOMMON,2.333333,110
